직업명,임금(만원)
교육행정사무원,3350 
스포츠마케터,3346 
항공교통관제사,3344 
시스템관리자,3343 
고무 및 플라스틱화학공학기술자,3331 
연예프로그램진행자,3326 
기자,3323 
119구조대원,3316 
석유화학공학기술자,3312 
시장 및 여론조사전문가,3310 
조명기사,3296 
정보통신기술영업원,3289 
임상심리사(심리치료사),3288 
제품디자이너,3287 
크레인 및 호이스트운전원,3285 
웹프로그래머,3283 
해외영업원,3279 
상품중개인(경매인포함),3262 
방사선사,3261 
재료공학기술자(엔지니어),3258 
경찰관,3256 
건설기계운전원,3252 
레크레이션진행자,3237 
디지털영상처리전문가,3237 
선박정비원,3234 
사무용기계공학기술자,3231 
우편사무원,3230 
정보제공자,3228 
외선전공,3227 
일반공무원,3224 
홍보사무원,3215 
사무용 응용소프트웨어엔지니어,3205 
입법 공무원,3200 
전문비서,3196 
영업 및 판매관리자,3195 
리포터,3194 
기술영업원,3186 
섬유공학기술자(엔지니어),3183 
산업용 기계장비기술영업원,3181 
금속가공관련 검사원,3178 
모델,3176 
전자장 기술영업원,3174 
도료 및 농약품화학공학기술자,3173 
국악인,3163 
물류관리전문가,3161 
펄프 및 종이제조관련 조작원,3159 
응용소프트웨어엔지니어,3148 
점화•발파 및 화약관리원,3141 
조경사 및 원예사,3138 
문화재보존가,3137 
번역가,3131 
철도선로설치 및 보수원,3130 
점토제품제조관련 조작원,3127 
기계조립 및 검사원,3124 
공작기계설치 및 정비원,3119 
생산관리사무원,3113 
석유•가스 및 화학물제조관련 제어장치조작원,3110 
마케팅전문가,3108 
기술지원전문가,3106 
검찰수사관,3097 
식음료품감정사,3081 
선장 및 항해사,3077 
운송 및 선적사무원,3068 
웹프로듀서(웹기획자),3060 
웹엔지니어,3060 
무역사무원,3058 
웹방송전문가,3050 
데이터베이스관리자,3038 
건축구조기술자,3033 
연극연출가,3019 
경호원,3018 
촬영기사,3018 
시멘트• 석회 및 콘크리트 제조관련 조작원,3015 
의약영업원,3012 
출판물기획원,3011 
해군부사관,3010 
건축자재영업원,3010 
소품원,3010 
제조관련 도장기조작원(금속분무 제외),3002 
정보보호전문가,2998 
건축시공기술자,2979 
행정학연구원,2979 
선박기관원,2978 
소방설비기술자,2976 
석제품제조관련 조작원,2970 
식품영업원,2960 
전자상거래전문가,2958 
의무기록사,2950 
KMS전문가,2935 
도시계획가,2933 
인명구조원,2923 
우편물집배원,2900 
화학제품제조관련 조작원,2900 
기계공학기술자,2898 
운동경기감독 및 코치,2896 
인쇄기조작원,2889 
학예사(큐레이터),2886 
안마사,2885 
무인경비원,2884 
컴퓨터하드웨어엔지니어,2876 
네트워크엔지니어,2876 
시나리오작가,2875 
인쇄 및 광고영업원,2870 
수상운송사무원,2869 
전기제 제조관련 조작원,2867 
산업안전관리원,2867 
내선전공,2867 
조경기술자,2866 
목재•펄프•종이가공관련 등급원 및 검사원,2861 
네트워크관리자,2858 
가구디자이너,2857 
음향 및 녹음기사,2852 
자동조립라인 및 산업용 로봇조작원,2840 
생산관리원,2833 
영화배우 및 탤런트,2832 
교구 및 교재개발원,2829 
게임프로그래머,2823 
대형트럭운전원,2813 
방문판매원,2802 
화가,2800 
해군장교,2800 
비서,2793 
컬러리스트,2790 
과수작물재배자,2790 
목재가공관련 조작원,2785 
음료 및 기타 식품제조관련 조작원,2785 
호텔 및 콘도접객원,2784 
주택관리사,2771 
안무가,2768 
자동차경주선수(카레이서),2767 
선박갑판원,2766 
물리치료사,2758 
특수차운전원,2755 
언어치료사,2743 
컴퓨터프로그래머,2742 
건물전기설비조작원,2741 
생물과학관련 시험원,2722 
보일러설치 및 수리원,2720 
운송관련 관리자,2704 
중식조리사,2695 
해양경찰관,2690 
공군장교,2690 
냉동•냉장•공조기설치 및 정비원,2690 
간호조무사,2684 
선박조립 및 검사원,2683 
표백•염색 및 마무리관련 조작원,2680 
건설 및 광업기계정비원,2675 
시스템소프트웨어엔지니어,2670 
양식원,2655 
측량사,2655 
유치원 원장 및 원감,2654 
플로리스트,2645 
가축사육자(수렵종사자포함),2638 
상하수처리관련 조작원,2630 
